dataset_name,table_name,column_name,data_type,ordinal_position
mimiciv_derived,_metadata,attribute,STRING,1
mimiciv_derived,_metadata,value,STRING,2
mimiciv_derived,acei,subject_id,INT64,1
mimiciv_derived,acei,hadm_id,INT64,2
mimiciv_derived,acei,acei,STRING,3
mimiciv_derived,acei,starttime,DATETIME,4
mimiciv_derived,acei,stoptime,DATETIME,5
mimiciv_derived,age,subject_id,INT64,1
mimiciv_derived,age,hadm_id,INT64,2
mimiciv_derived,age,admittime,DATETIME,3
mimiciv_derived,age,anchor_age,INT64,4
mimiciv_derived,age,anchor_year,INT64,5
mimiciv_derived,age,age,INT64,6
mimiciv_derived,antibiotic,subject_id,INT64,1
mimiciv_derived,antibiotic,hadm_id,INT64,2
mimiciv_derived,antibiotic,stay_id,INT64,3
mimiciv_derived,antibiotic,antibiotic,STRING,4
mimiciv_derived,antibiotic,route,STRING,5
mimiciv_derived,antibiotic,starttime,DATETIME,6
mimiciv_derived,antibiotic,stoptime,DATETIME,7
mimiciv_derived,apsiii,subject_id,INT64,1
mimiciv_derived,apsiii,hadm_id,INT64,2
mimiciv_derived,apsiii,stay_id,INT64,3
mimiciv_derived,apsiii,apsiii,INT64,4
mimiciv_derived,apsiii,apsiii_prob,FLOAT64,5
mimiciv_derived,apsiii,hr_score,INT64,6
mimiciv_derived,apsiii,mbp_score,INT64,7
mimiciv_derived,apsiii,temp_score,INT64,8
mimiciv_derived,apsiii,resp_rate_score,INT64,9
mimiciv_derived,apsiii,pao2_aado2_score,INT64,10
mimiciv_derived,apsiii,hematocrit_score,INT64,11
mimiciv_derived,apsiii,wbc_score,INT64,12
mimiciv_derived,apsiii,creatinine_score,INT64,13
mimiciv_derived,apsiii,uo_score,INT64,14
mimiciv_derived,apsiii,bun_score,INT64,15
mimiciv_derived,apsiii,sodium_score,INT64,16
mimiciv_derived,apsiii,albumin_score,INT64,17
mimiciv_derived,apsiii,bilirubin_score,INT64,18
mimiciv_derived,apsiii,glucose_score,INT64,19
mimiciv_derived,apsiii,acidbase_score,INT64,20
mimiciv_derived,apsiii,gcs_score,INT64,21
mimiciv_derived,arb,subject_id,INT64,1
mimiciv_derived,arb,hadm_id,INT64,2
mimiciv_derived,arb,arb,STRING,3
mimiciv_derived,arb,starttime,DATETIME,4
mimiciv_derived,arb,stoptime,DATETIME,5
mimiciv_derived,bg,subject_id,INT64,1
mimiciv_derived,bg,hadm_id,INT64,2
mimiciv_derived,bg,charttime,DATETIME,3
mimiciv_derived,bg,specimen,STRING,4
mimiciv_derived,bg,so2,FLOAT64,5
mimiciv_derived,bg,po2,FLOAT64,6
mimiciv_derived,bg,pco2,FLOAT64,7
mimiciv_derived,bg,fio2_chartevents,FLOAT64,8
mimiciv_derived,bg,fio2,FLOAT64,9
mimiciv_derived,bg,aado2,FLOAT64,10
mimiciv_derived,bg,aado2_calc,FLOAT64,11
mimiciv_derived,bg,pao2fio2ratio,FLOAT64,12
mimiciv_derived,bg,ph,FLOAT64,13
mimiciv_derived,bg,baseexcess,FLOAT64,14
mimiciv_derived,bg,bicarbonate,FLOAT64,15
mimiciv_derived,bg,totalco2,FLOAT64,16
mimiciv_derived,bg,hematocrit,FLOAT64,17
mimiciv_derived,bg,hemoglobin,FLOAT64,18
mimiciv_derived,bg,carboxyhemoglobin,FLOAT64,19
mimiciv_derived,bg,methemoglobin,FLOAT64,20
mimiciv_derived,bg,chloride,FLOAT64,21
mimiciv_derived,bg,calcium,FLOAT64,22
mimiciv_derived,bg,temperature,FLOAT64,23
mimiciv_derived,bg,potassium,FLOAT64,24
mimiciv_derived,bg,sodium,FLOAT64,25
mimiciv_derived,bg,lactate,FLOAT64,26
mimiciv_derived,bg,glucose,FLOAT64,27
mimiciv_derived,blood_differential,subject_id,INT64,1
